Gene	Ensembl ID	Chromosome	Start	Stop	Strand	Description	Log2FC	P-value	Adj P-value
COL11A2.6	ENSG00000204248.12	6	33162681	33192499	-	collagen type XI alpha 2 chain	1.21726842901696	0.000151954842489369	0.00806570008046959
ADAMTSL1	ENSG00000178031.18	9	17906563	18910950	+	ADAMTS like 1	1.16083027109132	0.000159479288692413	0.0236939080689778
CCL2	ENSG00000108691.10	17	34255274	34257208	+	C-C motif chemokine ligand 2	1.14380119497802	3.89461827231115e-08	5.3100338272768e-06
SEL1L3	ENSG00000091490.11	4	25747433	25863760	-	SEL1L family member 3	1.14302611351498	9.30962063913286e-07	0.000409668839060492
FXYD3	ENSG00000089356.19	19	35115823	35124324	+	FXYD domain containing ion transport regulator 3	1.13362049252825	2.27657682828057e-09	4.04863029486518e-07
CCN3	ENSG00000136999.5	8	119416446	119424434	+	cellular communication network factor 3	1.12493002544551	4.66761656982188e-41	4.04186463383488e-38
COL7A1	ENSG00000114270.18	3	48564073	48595329	-	collagen type VII alpha 1 chain	1.11890269001798	4.15118077709511e-05	0.00996394126582421
CXCL1	ENSG00000163739.5	4	73869393	73871308	+	C-X-C motif chemokine ligand 1	1.09917630647076	5.10468408448211e-11	7.6388840439142e-09
SERTAD4	ENSG00000281230.3	HG1832_PATCH	12538	26373	+	SERTA domain containing 4	1.07646524928533	6.08442840617664e-06	0.00163843154889248
SERTAD4.1	ENSG00000082497.12	1	210232796	210246631	+	SERTA domain containing 4	1.07646524928533	6.08442840617664e-06	0.00163843154889248
SORCS2	ENSG00000184985.16	4	7192538	7742836	+	sortilin related VPS10 domain containing receptor 2	1.07554200519213	0.0036042761086432	0.23906082482676
GLDC	ENSG00000178445.10	9	6532467	6645729	-	glycine decarboxylase	1.0607582559013	1.93487087128828e-09	3.61982604086182e-07
VCAN	ENSG00000038427.16	5	83471618	83582303	+	versican	1.04817208833368	7.97767697349881e-19	4.87138873741779e-16
LAPTM5	ENSG00000162511.8	1	30732469	30757774	-	lysosomal protein transmembrane 5	1.03551561675962	0.000470667776476767	0.0483347607573369
PTPRZ1	ENSG00000106278.12	7	121873089	122062036	+	protein tyrosine phosphatase receptor type Z1	1.03280415016963	9.77586734717108e-05	0.00542797609342344
IL6	ENSG00000136244.12	7	22725884	22732002	+	interleukin 6	1.03174072622111	2.62335505366818e-06	0.000978725295637664
MCHR1	ENSG00000128285.5	22	40679273	40682812	+	melanin concentrating hormone receptor 1	1.03101648841678	1.81328816545976e-05	0.00441766602054954
PLEKHA7	ENSG00000166689.18	11	16777297	17014415	-	pleckstrin homology domain containing A7	1.014862140673	5.74889951145847e-05	0.00696590107030827
CXCL8	ENSG00000169429.12	4	73740519	73743716	+	C-X-C motif chemokine ligand 8	1.01446969907122	2.14569936270518e-07	2.52371071132683e-05
HES1	ENSG00000114315.4	3	194136148	194138732	+	hes family bHLH transcription factor 1	1.00051888432721	4.55604205233024e-08	2.56540131173933e-05
